Primary Purpose,Design Style,Furniture Type,Room Size,Dimension Constraints,Budget,Eco-Friendly,Storage Needs,Easy Assembly,Children or Pets,Comfort vs Practicality,Specific Requests,Recommended Furniture
Sleep,Traditional,Multifunctional,More than 20 sqm,No,More than 5000 SAR,No,Yes,No,No,Comfortable,Durable,"['Sofa', 'Lamp', 'Table', 'Chair']"
Relax,Industrial,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'TV']"
Dining,Rustic,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,No,No,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Lamp', 'Chair']"
Relax,Modern,Multifunctional,More than 20 sqm,No,More than 5000 SAR,No,No,No,No,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Lamp', 'Chair']"
Relax,Minimalist,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,Yes,Comfortable,None,"['Sofa', 'TV', 'Chair']"
Play,Minimalist,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,Yes,No,No,Yes,Practical,Durable,"['Sofa', 'Lamp']"
Dining,Modern,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,No,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Dining,Modern,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,Yes,Practical,Durable,"['Sofa', 'Table']"
Dining,Rustic,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,Yes,Yes,Yes,Yes,Practical,None,"['Sofa', 'Lamp', 'Table']"
Relax,Industrial,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,Yes,Comfortable,None,"['Sofa', 'TV', 'Table', 'Chair']"
Sleep,Minimalist,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,No,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Dining,Rustic,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,No,No,No,No,Practical,Stain-resistant,"['Sofa', 'Lamp']"
Relax,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,No,Practical,None,"['Sofa', 'TV', 'Table']"
Play,Rustic,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Sleep,Minimalist,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,No,No,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Chair']"
Play,Modern,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,Yes,No,Practical,Easy to clean,"['Sofa', 'Table']"
Sleep,Modern,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,Yes,No,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Relax,Industrial,Ready-made,Less than 10 sqm,No,More than 5000 SAR,Yes,Yes,No,Yes,Practical,Stain-resistant,"['Sofa', 'TV', 'Lamp', 'Table']"
Work,Traditional,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,Yes,Yes,Yes,No,Practical,Easy to clean,"['Sofa', 'Table', 'Lamp', 'Table']"
Sleep,Industrial,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,No,Practical,Durable,"['Sofa', 'Chair']"
Play,Traditional,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,No,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Relax,Rustic,Ready-made,More than 20 sqm,No,More than 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'TV', 'Lamp', 'Table', 'Chair']"
Sleep,Rustic,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,Yes,No,No,Yes,Comfortable,None,"['Sofa', 'Lamp', 'Chair']"
Work,Minimalist,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,No,Yes,Yes,Yes,Comfortable,None,"['Sofa', 'Table', 'Lamp', 'Table', 'Chair']"
Work,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,No,No,Practical,Easy to clean,"['Sofa', 'Table']"
Dining,Minimalist,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,Yes,Practical,None,"['Sofa', 'Lamp']"
Dining,Modern,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,No,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Lamp', 'Chair']"
Play,Traditional,Ready-made,Less than 10 sqm,No,More than 5000 SAR,Yes,No,Yes,Yes,Comfortable,None,"['Sofa', 'Lamp', 'Chair']"
Sleep,Industrial,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,Yes,No,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Sleep,Modern,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,No,No,No,Yes,Comfortable,None,"['Sofa', 'Chair']"
Dining,Modern,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,Yes,No,No,No,Comfortable,None,"['Sofa', 'Chair']"
Sleep,Industrial,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'Lamp']"
Sleep,Modern,Ready-made,More than 20 sqm,No,More than 5000 SAR,No,No,No,No,Practical,Easy to clean,"['Sofa', 'Lamp']"
Work,Traditional,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,No,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Dining,Minimalist,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,No,No,No,No,Comfortable,None,"['Sofa', 'Lamp', 'Chair']"
Relax,Modern,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'TV', 'Table']"
Dining,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,No,Practical,Stain-resistant,"['Sofa', 'Window']"
Relax,Rustic,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,No,Practical,Stain-resistant,"['Sofa', 'TV', 'Table']"
Work,Traditional,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Play,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,Yes,No,Yes,Practical,Stain-resistant,"['Sofa', 'Lamp', 'Table']"
Sleep,Traditional,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Work,Industrial,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,No,Yes,No,No,Comfortable,None,"['Sofa', 'Table', 'Lamp', 'Table', 'Chair']"
Sleep,Minimalist,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,No,Yes,Yes,Practical,None,"['Sofa', 'Lamp']"
Play,Rustic,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,No,No,No,No,Practical,Durable,"['Sofa', 'Table']"
Play,Industrial,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,No,No,No,Practical,None,"['Sofa', 'Window']"
Work,Traditional,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,Yes,No,No,No,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Play,Minimalist,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,No,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Relax,Rustic,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,Yes,No,No,No,Practical,None,"['Sofa', 'TV', 'Lamp']"
Play,Industrial,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,Yes,No,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Sleep,Rustic,Ready-made,Less than 10 sqm,No,More than 5000 SAR,No,No,No,Yes,Practical,Durable,"['Sofa', 'Lamp']"
Sleep,Traditional,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Chair']"
